"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"48870099999","2017-01-01","13.7666667","109.2166667","6.0","QUY NHON, VM","  78.4"," 8","  72.7"," 8","1014.6"," 8","013.9"," 8"," 12.4"," 8","  6.1"," 8","  7.8","999.9","  82.4","*","  76.3","*"," 0.03","G","999.9","000000"
"48870099999","2017-01-02","13.7666667","109.2166667","6.0","QUY NHON, VM","  78.2"," 8","  72.7"," 8","1014.5"," 8","013.8"," 8"," 12.4"," 8","  7.0"," 8"," 11.7","999.9","  80.6","*","  76.3"," "," 0.00","G","999.9","000000"
"48870099999","2017-01-03","13.7666667","109.2166667","6.0","QUY NHON, VM","  77.9"," 8","  69.9"," 8","1014.2"," 8","013.5"," 8"," 12.4"," 8","  6.3"," 8","  7.8","999.9","  82.4"," ","  75.2"," "," 0.00","G","999.9","000000"
"48870099999","2017-01-04","13.7666667","109.2166667","6.0","QUY NHON, VM","  77.0"," 8","  72.0"," 8","1013.1"," 8","012.3"," 8"," 12.4"," 8","  5.1"," 8","  7.8","999.9","  79.7","*","  74.5"," "," 0.00","G","999.9","000000"
"48870099999","2017-01-05","13.7666667","109.2166667","6.0","QUY NHON, VM","  78.1"," 8","  69.6"," 8","1012.5"," 8","011.8"," 8"," 12.4"," 8","  6.3"," 8","  9.7","999.9","  81.9","*","  74.7"," "," 0.00","G","999.9","000000"
"48870099999","2017-01-06","13.7666667","109.2166667","6.0","QUY NHON, VM","  75.9"," 8","  71.5"," 8","1011.5"," 8","010.8"," 8"," 11.3"," 8","  5.0"," 7","  7.8","999.9","  79.7"," ","  74.1","*"," 0.13","G","999.9","010000"
"48870099999","2017-01-09","13.7666667","109.2166667","6.0","QUY NHON, VM","  78.2"," 6","  72.6"," 5","1011.1"," 6","010.4"," 6"," 12.4"," 6","  4.2"," 6","  5.8","999.9","  80.6","*","  75.6","*"," 0.00","G","999.9","000000"
"48870099999","2017-01-10","13.7666667","109.2166667","6.0","QUY NHON, VM","  79.3"," 8","  73.0"," 8","1012.0"," 8","011.3"," 8"," 12.4"," 8","  3.2"," 8","  5.8","999.9","  84.2","*","  75.6"," "," 0.00","G","999.9","010000"
"48870099999","2017-01-11","13.7666667","109.2166667","6.0","QUY NHON, VM","  79.0"," 8","  73.2"," 8","1011.0"," 8","010.3"," 8"," 12.4"," 8","  3.6"," 8","  5.8","999.9","  82.4","*","  75.0"," "," 0.04","G","999.9","000000"
"48870099999","2017-01-12","13.7666667","109.2166667","6.0","QUY NHON, VM","  78.3"," 8","  72.4"," 8","1009.4"," 8","009.4"," 8"," 11.7"," 8","  5.3"," 8","  7.8","999.9","  83.3","*","  74.7","*"," 0.00","G","999.9","010000"
