"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"48866099999","2024-01-01","14.004522","108.017158","741.88","PLEIKU, VM","  71.1"," 8","  62.3"," 8","1014.3"," 8","927.0"," 8"," 12.4"," 8","  2.2"," 8","  5.8","999.9","  82.0","*","  62.6"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-02","14.004522","108.017158","741.88","PLEIKU, VM","  71.4"," 8","  63.7"," 8","1014.2"," 8","926.8"," 8"," 12.4"," 8","  3.4"," 8","  7.8","999.9","  86.5"," ","  61.7"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-03","14.004522","108.017158","741.88","PLEIKU, VM","  69.5"," 8","  60.2"," 8","1015.4"," 8","927.5"," 8"," 12.4"," 8","  4.1"," 8","  5.8","999.9","  80.8","*","  61.2","*"," 0.00","G","999.9","000000"
"48866099999","2024-01-04","14.004522","108.017158","741.88","PLEIKU, VM","  68.4"," 8","  58.2"," 8","1015.7"," 8","927.5"," 8"," 12.4"," 8","  3.6"," 8","  9.7","999.9","  81.7","*","  57.6","*"," 0.00","G","999.9","000000"
"48866099999","2024-01-05","14.004522","108.017158","741.88","PLEIKU, VM","  68.7"," 8","  58.3"," 8","1016.2"," 8","928.0"," 8"," 12.4"," 8","  3.9"," 8","  9.7","999.9","  81.3","*","  56.8"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-06","14.004522","108.017158","741.88","PLEIKU, VM","  70.4"," 8","  61.0"," 8","1016.0"," 8","928.0"," 8"," 12.4"," 8","  4.6"," 8","  9.7","999.9","  83.3","*","  58.1"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-07","14.004522","108.017158","741.88","PLEIKU, VM","  70.0"," 8","  61.7"," 8","1016.1"," 8","928.1"," 8"," 12.4"," 8","  3.4"," 8","  5.8","999.9","  82.2","*","  60.3"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-08","14.004522","108.017158","741.88","PLEIKU, VM","  69.8"," 8","  60.7"," 8","1015.3"," 8","927.4"," 8"," 12.4"," 8","  3.6"," 8","  7.8","999.9","  83.5","*","  59.0"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-09","14.004522","108.017158","741.88","PLEIKU, VM","  71.5"," 8","  62.4"," 8","1013.6"," 8","926.3"," 8"," 12.4"," 8","  3.6"," 8","  5.8","999.9","  85.6","*","  59.4"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-10","14.004522","108.017158","741.88","PLEIKU, VM","  71.8"," 8","  62.8"," 8","1013.7"," 8","926.4"," 8"," 12.4"," 8","  3.2"," 8","  5.8","999.9","  84.4","*","  62.1"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-11","14.004522","108.017158","741.88","PLEIKU, VM","  70.2"," 8","  61.3"," 8","1014.8"," 8","927.1"," 8"," 12.4"," 8","  3.2"," 8","  3.9","999.9","  81.7","*","  62.6"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-12","14.004522","108.017158","741.88","PLEIKU, VM","  68.2"," 8","  59.0"," 8","1014.8"," 8","926.8"," 8"," 12.4"," 8","  3.6"," 8","  5.8","999.9","  79.2","*","  58.8","*"," 0.00","G","999.9","000000"
"48866099999","2024-01-13","14.004522","108.017158","741.88","PLEIKU, VM","  68.3"," 8","  59.1"," 8","1015.5"," 8","927.3"," 8"," 12.4"," 8","  2.9"," 8","  7.8","999.9","  82.4","*","  57.2"," "," 0.00","I","999.9","000000"
"48866099999","2024-01-14","14.004522","108.017158","741.88","PLEIKU, VM","  68.7"," 8","  58.3"," 8","1016.1"," 8","927.9"," 8"," 12.4"," 8","  2.7"," 8","  5.8","999.9","  82.8","*","  57.2"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-15","14.004522","108.017158","741.88","PLEIKU, VM","  69.2"," 8","  57.8"," 8","1015.6"," 8","927.6"," 8"," 12.4"," 8","  3.9"," 8","  7.8","999.9","  82.0","*","  59.0"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-16","14.004522","108.017158","741.88","PLEIKU, VM","  69.7"," 8","  58.6"," 8","1015.4"," 8","927.5"," 8"," 12.4"," 8","  2.4"," 8","  3.9","999.9","  82.0","*","  59.0"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-17","14.004522","108.017158","741.88","PLEIKU, VM","  70.0"," 8","  59.6"," 8","1014.6"," 8","926.9"," 8"," 12.4"," 8","  4.1"," 8","  7.8","999.9","  82.4","*","  58.1"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-18","14.004522","108.017158","741.88","PLEIKU, VM","  70.6"," 8","  61.0"," 8","1013.9"," 8","926.3"," 8"," 12.4"," 8","  3.2"," 8","  5.8","999.9","  87.1"," ","  58.5"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-19","14.004522","108.017158","741.88","PLEIKU, VM","  70.1"," 8","  61.0"," 8","1013.5"," 8","925.9"," 8"," 11.2"," 8","  3.2"," 8","  3.9","999.9","  84.7"," ","  59.9"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-20","14.004522","108.017158","741.88","PLEIKU, VM","  70.6"," 8","  60.9"," 8","1014.3"," 8","926.6"," 8"," 11.2"," 8","  3.4"," 8","  5.8","999.9","  85.1"," ","  60.4"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-21","14.004522","108.017158","741.88","PLEIKU, VM","  69.8"," 8","  59.3"," 8","1015.6"," 8","927.7"," 8"," 12.4"," 8","  3.4"," 8","  5.8","999.9","  85.1"," ","  59.4"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-22","14.004522","108.017158","741.88","PLEIKU, VM","  69.9"," 8","  59.6"," 8","1016.7"," 8","928.6"," 8"," 12.4"," 8","  3.9"," 8","  5.8","999.9","  84.2"," ","  59.9"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-23","14.004522","108.017158","741.88","PLEIKU, VM","  70.0"," 8","  59.0"," 8","1017.8"," 8","929.7"," 8"," 12.4"," 8","  5.6"," 8","  7.8","999.9","  82.8"," ","  60.1"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-24","14.004522","108.017158","741.88","PLEIKU, VM","  69.0"," 8","  59.7"," 8","1018.9"," 8","930.6"," 8"," 12.4"," 8","  5.3"," 8","  7.8","999.9","  81.5"," ","  61.9","*"," 0.00","G","999.9","000000"
"48866099999","2024-01-25","14.004522","108.017158","741.88","PLEIKU, VM","  67.7"," 8","  58.8"," 8","1020.8"," 8","932.0"," 8"," 12.4"," 8","  5.1"," 8","  9.7","999.9","  78.8"," ","  60.8"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-26","14.004522","108.017158","741.88","PLEIKU, VM","  68.4"," 8","  58.5"," 8","1020.2"," 8","931.9"," 8"," 12.4"," 8","  3.4"," 8","  7.8","999.9","  81.3","*","  59.7","*"," 0.00","G","999.9","000000"
"48866099999","2024-01-27","14.004522","108.017158","741.88","PLEIKU, VM","  68.6"," 8","  58.2"," 8","1019.5"," 8","931.1"," 8"," 12.4"," 8","  4.4"," 8","  7.8","999.9","  82.0","*","  57.2"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-28","14.004522","108.017158","741.88","PLEIKU, VM","  68.2"," 8","  57.8"," 8","1019.4"," 8","930.9"," 8"," 12.4"," 8","  5.6"," 8"," 11.7","999.9","  80.4","*","  59.4"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-29","14.004522","108.017158","741.88","PLEIKU, VM","  69.2"," 8","  59.3"," 8","1018.3"," 8","930.0"," 8"," 12.4"," 8","  5.3"," 8","  7.8","999.9","  82.8","*","  58.5"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-30","14.004522","108.017158","741.88","PLEIKU, VM","  69.3"," 8","  59.5"," 8","1017.7"," 8","929.5"," 8"," 12.4"," 8","  3.9"," 8","  7.8","999.9","  82.4","*","  57.2"," "," 0.00","G","999.9","000000"
"48866099999","2024-01-31","14.004522","108.017158","741.88","PLEIKU, VM","  71.9"," 8","  60.8"," 8","1016.4"," 8","928.7"," 8"," 12.4"," 8","  3.9"," 8","  7.8","999.9","  83.5","*","  59.7"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-01","14.004522","108.017158","741.88","PLEIKU, VM","  73.8"," 8","  63.5"," 8","1015.5"," 8","928.3"," 8"," 12.4"," 8","  2.4"," 8","  5.8","999.9","  84.2","*","  61.7"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-02","14.004522","108.017158","741.88","PLEIKU, VM","  73.6"," 8","  64.0"," 8","1015.1"," 8","927.9"," 8"," 12.4"," 8","  2.7"," 8","  3.9","999.9","  83.1","*","  64.4","*"," 0.00","G","999.9","000000"
"48866099999","2024-02-03","14.004522","108.017158","741.88","PLEIKU, VM","  73.7"," 8","  59.7"," 8","1015.1"," 8","927.7"," 8"," 12.4"," 8","  2.9"," 8","  3.9","999.9","  87.6","*","  62.2","*"," 0.00","G","999.9","000000"
"48866099999","2024-02-04","14.004522","108.017158","741.88","PLEIKU, VM","  75.4"," 8","  63.0"," 8","1014.9"," 8","928.1"," 8"," 12.4"," 8","  1.2"," 8","  3.9","999.9","  88.0","*","  60.8"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-05","14.004522","108.017158","741.88","PLEIKU, VM","  75.6"," 8","  64.5"," 8","1015.5"," 8","928.3"," 8","  9.9"," 8","  2.2"," 8","  3.9","999.9","  87.4","*","  65.3"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-06","14.004522","108.017158","741.88","PLEIKU, VM","  77.8"," 6","  63.5"," 6","1014.7"," 6","928.1"," 6","  9.1"," 6","  2.6"," 6","  3.9","999.9","  88.9","*","  64.4"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-07","14.004522","108.017158","741.88","PLEIKU, VM","  75.4"," 8","  67.3"," 8","1013.3"," 8","926.5"," 8"," 12.4"," 8","  2.4"," 8","  3.9","999.9","  84.6","*","  65.1"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-08","14.004522","108.017158","741.88","PLEIKU, VM","  73.7"," 8","  67.3"," 8","1013.8"," 8","926.7"," 8"," 10.9"," 8","  3.6"," 8","  7.8","999.9","  83.8","*","  65.7"," "," 0.00","G","999.9","100000"
"48866099999","2024-02-09","14.004522","108.017158","741.88","PLEIKU, VM","  74.1"," 8","  63.1"," 8","1016.8"," 8","929.5"," 8"," 12.4"," 8","  5.3"," 8","  9.7","999.9","  88.5","*","  64.4","*"," 0.00","G","999.9","000000"
"48866099999","2024-02-10","14.004522","108.017158","741.88","PLEIKU, VM","  69.2"," 8","  59.2"," 8","1020.2"," 8","931.6"," 8"," 12.4"," 8","  4.4"," 8","  9.7","999.9","  80.6","*","  61.2","*"," 0.00","G","999.9","000000"
"48866099999","2024-02-11","14.004522","108.017158","741.88","PLEIKU, VM","  68.6"," 8","  56.9"," 8","1020.7"," 8","932.3"," 8"," 12.4"," 8","  4.6"," 8","  9.7","999.9","  85.1","*","  59.4"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-12","14.004522","108.017158","741.88","PLEIKU, VM","  68.9"," 8","  56.4"," 8","1019.6"," 8","931.4"," 8"," 12.4"," 8","  2.9"," 8","  7.8","999.9","  82.4","*","  59.0"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-13","14.004522","108.017158","741.88","PLEIKU, VM","  70.0"," 8","  59.7"," 8","1018.0"," 8","929.8"," 8"," 12.4"," 8","  4.1"," 8","  7.8","999.9","  83.1","*","  55.9"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-14","14.004522","108.017158","741.88","PLEIKU, VM","  72.9"," 8","  63.0"," 8","1016.2"," 8","928.5"," 8"," 12.4"," 8","  4.9"," 8","  7.8","999.9","  87.1","*","  60.8"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-15","14.004522","108.017158","741.88","PLEIKU, VM","  74.4"," 8","  63.0"," 8","1016.3"," 8","929.0"," 8"," 12.4"," 8","  4.6"," 8","  7.8","999.9","  87.8","*","  61.7"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-16","14.004522","108.017158","741.88","PLEIKU, VM","  71.6"," 8","  60.5"," 8","1016.2"," 8","928.5"," 8"," 12.4"," 8","  4.9"," 8","  9.7","999.9","  86.4"," ","  61.0","*"," 0.00","G","999.9","000000"
"48866099999","2024-02-17","14.004522","108.017158","741.88","PLEIKU, VM","  72.5"," 8","  60.6"," 8","1014.1"," 8","926.8"," 8"," 12.4"," 8","  4.1"," 8","  5.8","999.9","  88.3"," ","  59.5"," "," 0.00","G","999.9","000000"
"48866099999","2024-02-18","14.004522","108.017158","741.88","PLEIKU, VM","  74.8"," 8","  62.2"," 8","1013.8"," 8","926.7"," 8"," 10.9"," 8","  2.7"," 8","  3.9","999.9","  89.1"," ","  61.2"," "," 0.00","G","999.9","100000"
"48866099999","2024-02-19","14.004522","108.017158","741.88","PLEIKU, VM","  75.7"," 8","  65.8"," 8","1013.3"," 8","926.5"," 8"," 10.9"," 8","  2.4"," 8","  3.9","999.9","  86.7"," ","  64.4"," "," 0.00","G","999.9","100000"
"48866099999","2024-02-20","14.004522","108.017158","741.88","PLEIKU, VM","  76.5"," 8","  64.8"," 8","1012.7"," 8","926.1"," 8","  8.7"," 8","  1.9"," 8","  3.9","999.9","  88.2"," ","  67.5"," "," 0.00","G","999.9","000000"
