"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"48845099999","2015-01-01","18.736725","105.670881","5.18","VINH, VM","  61.9"," 8","  57.1"," 8","1023.0"," 8","022.3"," 8"," 10.9"," 8","  2.4"," 8","  5.8","999.9","  71.2"," ","  56.1"," "," 0.00","G","999.9","100000"
"48845099999","2015-01-02","18.736725","105.670881","5.18","VINH, VM","  61.6"," 8","  57.0"," 8","1021.6"," 8","020.9"," 8"," 11.2"," 8","  1.9"," 6","  3.9","999.9","  64.0"," ","  56.1"," "," 0.00","G","999.9","000000"
"48845099999","2015-01-03","18.736725","105.670881","5.18","VINH, VM","  64.6"," 8","  60.2"," 8","1018.0"," 8","017.3"," 8"," 12.4"," 8","  1.9"," 6","  3.9","999.9","  70.5"," ","  60.1"," "," 0.00","G","999.9","000000"
"48845099999","2015-01-04","18.736725","105.670881","5.18","VINH, VM","  67.7"," 8","  63.4"," 8","1012.4"," 8","011.7"," 8"," 11.2"," 8","  1.9"," 7","  3.9","999.9","  75.4"," ","  61.2"," "," 0.00","G","999.9","000000"
"48845099999","2015-01-05","18.736725","105.670881","5.18","VINH, VM","  70.5"," 8","  66.6"," 8","1011.0"," 8","010.3"," 8"," 11.2"," 8","  1.9"," 8","  5.8","999.9","  77.7"," ","  64.4"," "," 0.00","G","999.9","000000"
"48845099999","2015-01-06","18.736725","105.670881","5.18","VINH, VM","  71.8"," 8","  68.9"," 8","1012.9"," 8","012.3"," 8"," 12.4"," 8","  1.7"," 7","  1.9","999.9","  75.4"," ","  67.8"," "," 0.00","G","999.9","000000"
"48845099999","2015-01-07","18.736725","105.670881","5.18","VINH, VM","  66.5"," 8","  65.8"," 8","1018.8"," 8","018.1"," 8","  6.2"," 8","  3.6"," 8","  5.8","999.9","  70.2"," ","  63.0","*"," 0.52","G","999.9","010000"
"48845099999","2015-01-08","18.736725","105.670881","5.18","VINH, VM","  60.2"," 8","  59.7"," 8","1022.8"," 8","022.1"," 8","  6.2"," 8","  2.7"," 8","  3.9","999.9","  62.8"," ","  58.8","*"," 0.75","G","999.9","010000"
"48845099999","2015-01-09","18.736725","105.670881","5.18","VINH, VM","  57.6"," 8","  56.7"," 8","1022.6"," 8","021.9"," 8","  6.2"," 8","  2.2"," 8","  3.9","999.9","  60.3"," ","  55.2","*"," 0.35","G","999.9","010000"
"48845099999","2015-01-10","18.736725","105.670881","5.18","VINH, VM","  56.3"," 8","  52.6"," 8","1022.6"," 8","021.9"," 8"," 10.1"," 8","  2.4"," 8","  3.9","999.9","  57.9","*","  54.9"," "," 0.08","G","999.9","010000"
"48845099999","2015-01-11","18.736725","105.670881","5.18","VINH, VM","  54.9"," 7","  53.1"," 7","1022.4"," 7","021.7"," 7","  7.1"," 7","  1.7"," 7","  3.9","999.9","  55.2","*","  54.5","*"," 0.57","G","999.9","010000"
"48845099999","2015-01-12","18.736725","105.670881","5.18","VINH, VM","  58.8"," 8","  53.3"," 8","1022.7"," 8","022.0"," 8"," 12.4"," 8","  1.4"," 7","  3.9","999.9","  64.4","*","  54.3","*"," 0.07","G","999.9","000000"
"48845099999","2015-01-13","18.736725","105.670881","5.18","VINH, VM","  58.4"," 8","  49.9"," 8","1022.5"," 8","021.8"," 8"," 11.2"," 8","  3.3"," 7","  7.8","999.9","  66.6","*","  50.9"," "," 0.00","G","999.9","000000"
"48845099999","2015-01-14","18.736725","105.670881","5.18","VINH, VM","  57.9"," 8","  53.3"," 8","1022.7"," 8","022.0"," 8"," 12.4"," 8","  1.7"," 8","  3.9","999.9","  65.7","*","  51.3"," "," 0.00","I","999.9","000000"
