date,location,latitude,longitude,precipitationCorrected,temperature2m,temperature2mMax,temperature2mMin,dewPoint2m,earthSkinTemperature,relativeHumidity2m,specificHumidity2m,surfacePressure,windSpeed10m,windDirection10m,shortwaveDownwardIrradiance,longwaveDownwardIrradiance,surfaceSoilWetness,rootZoneSoilWetness,cloudFraction
2015-01-01,CAM RANH,12.25,109.2,0.67,23.05,24.36,21.88,18.52,23.46,76.0,13.32,100.59,10.39,6.7,16.69,34.1,0.81,0.82,81.38
2015-01-02,CAM RANH,12.25,109.2,3.62,23.25,24.17,22.73,20.63,23.64,85.27,15.18,100.57,9.47,17.6,6.49,35.37,0.82,0.82,99.47
2015-01-03,CAM RANH,12.25,109.2,1.38,23.43,24.74,22.65,21.07,23.71,86.62,15.61,100.41,7.73,24.1,7.53,36.36,0.81,0.81,94.87
2015-01-04,CAM RANH,12.25,109.2,1.45,23.63,24.9,22.81,21.82,23.97,89.67,16.38,100.25,4.8,20.7,9.02,35.75,0.81,0.81,97.82
2015-01-05,CAM RANH,12.25,109.2,0.25,24.1,25.34,23.32,22.46,24.29,90.55,17.04,100.18,2.83,29.7,16.15,35.02,0.81,0.81,83.05
2015-01-06,CAM RANH,12.25,109.2,0.2,24.52,25.76,23.64,22.42,24.62,88.08,17.01,100.18,3.71,39.6,17.23,35.08,0.8,0.8,40.65
2015-01-07,CAM RANH,12.25,109.2,0.85,24.34,25.92,23.42,21.99,24.42,86.72,16.53,100.39,6.65,28.0,14.91,34.97,0.8,0.8,87.76
2015-01-08,CAM RANH,12.25,109.2,2.31,24.08,25.46,23.17,21.58,24.44,85.91,16.09,100.53,8.85,34.2,14.54,35.14,0.79,0.79,59.45
2015-01-09,CAM RANH,12.25,109.2,1.78,23.68,24.94,22.95,21.28,24.16,86.47,15.8,100.5,8.02,26.5,16.76,34.51,0.79,0.79,75.43
2015-01-10,CAM RANH,12.25,109.2,2.35,23.81,24.97,23.1,21.18,24.16,85.15,15.71,100.49,8.37,33.1,10.43,35.17,0.79,0.79,89.58
2015-01-11,CAM RANH,12.25,109.2,1.09,23.6,24.87,22.75,20.23,24.03,81.44,14.8,100.5,7.66,25.1,12.48,34.5,0.78,0.78,96.71
2015-01-12,CAM RANH,12.25,109.2,3.31,23.1,25.17,21.41,20.12,23.94,83.47,14.72,100.5,9.14,5.9,13.98,35.12,0.78,0.78,90.57
2015-01-13,CAM RANH,12.25,109.2,1.53,22.01,23.57,21.08,18.59,23.14,81.0,13.35,100.64,10.21,8.4,14.0,34.3,0.78,0.77,81.74
2015-01-14,CAM RANH,12.25,109.2,0.72,21.43,23.24,20.16,16.89,22.67,75.45,11.99,100.73,9.1,6.2,18.41,32.04,0.77,0.77,32.38
2015-01-15,CAM RANH,12.25,109.2,0.2,21.15,22.7,20.21,16.54,22.56,75.12,11.72,100.7,8.79,4.5,18.15,31.44,0.76,0.76,33.95
2015-01-16,CAM RANH,12.25,109.2,1.16,22.15,23.21,20.99,18.56,23.17,80.51,13.36,100.62,8.72,7.8,18.49,33.81,0.76,0.75,55.71
2015-01-17,CAM RANH,12.25,109.2,0.35,22.95,24.52,21.57,18.29,23.2,74.99,13.11,100.64,9.28,23.2,11.73,34.22,0.75,0.75,74.14
2015-01-18,CAM RANH,12.25,109.2,0.65,22.97,24.51,22.12,18.71,23.32,77.05,13.45,100.61,8.59,24.3,16.85,34.2,0.74,0.74,73.46
2015-01-19,CAM RANH,12.25,109.2,0.27,21.9,23.63,20.58,17.38,22.73,75.59,12.35,100.72,8.32,15.8,15.06,32.83,0.74,0.73,78.63
2015-01-20,CAM RANH,12.25,109.2,0.19,21.91,23.84,20.77,18.09,22.68,79.45,12.93,100.75,7.0,4.6,16.85,32.34,0.73,0.73,72.65
2015-01-21,CAM RANH,12.25,109.2,0.18,22.44,24.02,21.36,19.59,23.03,84.04,14.18,100.87,7.67,13.6,17.33,33.29,0.73,0.72,55.93
2015-01-22,CAM RANH,12.25,109.2,0.02,22.05,23.75,20.43,17.95,22.86,77.56,12.8,100.79,7.05,26.3,17.77,32.47,0.72,0.72,29.55
2015-01-23,CAM RANH,12.25,109.2,0.0,21.5,23.45,20.03,16.58,22.6,73.73,11.75,100.56,5.25,28.9,20.21,30.57,0.71,0.71,13.98
2015-01-24,CAM RANH,12.25,109.2,0.0,21.77,23.75,20.36,17.54,23.08,77.1,12.49,100.58,4.49,29.1,20.88,30.35,0.7,0.7,11.52
2015-01-25,CAM RANH,12.25,109.2,0.0,22.2,24.38,20.18,17.79,23.09,76.52,12.7,100.6,3.53,23.8,20.7,30.89,0.69,0.7,22.31
2015-01-26,CAM RANH,12.25,109.2,0.04,22.77,24.7,21.64,19.76,23.71,83.37,14.39,100.51,4.04,29.8,21.33,31.27,0.68,0.69,6.56
2015-01-27,CAM RANH,12.25,109.2,0.01,22.83,24.9,21.23,19.17,23.7,79.93,13.88,100.4,5.05,29.8,20.29,32.36,0.67,0.69,15.84
2015-01-28,CAM RANH,12.25,109.2,0.0,22.56,24.47,21.14,18.78,23.64,79.34,13.53,100.42,5.57,22.8,19.88,32.11,0.66,0.68,20.5
2015-01-29,CAM RANH,12.25,109.2,0.0,22.58,24.27,21.36,18.72,23.62,78.85,13.46,100.53,6.52,21.8,19.16,32.84,0.66,0.68,33.41
2015-01-30,CAM RANH,12.25,109.2,0.03,22.99,24.48,21.9,18.8,23.69,77.44,13.52,100.68,7.64,18.4,20.45,33.02,0.65,0.67,40.99
2015-01-31,CAM RANH,12.25,109.2,0.14,23.3,24.71,22.48,18.88,23.81,76.33,13.57,100.73,8.4,24.4,18.39,33.45,0.64,0.67,47.35
2015-02-01,CAM RANH,12.25,109.2,0.36,23.39,24.93,22.37,19.61,23.88,79.65,14.23,100.71,7.7,29.2,19.47,34.39,0.63,0.66,56.9
