date,location,latitude,longitude,precipitationCorrected,temperature2m,temperature2mMax,temperature2mMin,dewPoint2m,earthSkinTemperature,relativeHumidity2m,specificHumidity2m,surfacePressure,windSpeed10m,windDirection10m,shortwaveDownwardIrradiance,longwaveDownwardIrradiance,surfaceSoilWetness,rootZoneSoilWetness,cloudFraction
2015-01-01,DA NANG,16.044,108.199,1.27,19.75,21.8,18.57,16.09,20.37,79.96,11.45,100.18,4.04,38.0,16.19,33.12,0.84,0.83,64.59
2015-01-02,DA NANG,16.044,108.199,4.18,20.51,22.82,18.99,17.87,20.81,85.11,12.81,100.08,3.96,51.8,9.66,34.4,0.84,0.83,96.17
2015-01-03,DA NANG,16.044,108.199,2.82,20.3,22.59,19.04,18.06,20.48,87.01,13.0,99.84,3.13,62.1,7.55,35.54,0.85,0.83,94.35
2015-01-04,DA NANG,16.044,108.199,0.11,21.4,24.46,19.56,19.34,21.56,88.56,14.15,99.49,2.65,112.9,16.17,33.6,0.84,0.82,67.85
2015-01-05,DA NANG,16.044,108.199,0.02,23.12,26.78,21.32,21.06,23.18,88.86,15.78,99.36,2.76,122.4,18.62,34.05,0.83,0.82,52.09
2015-01-06,DA NANG,16.044,108.199,0.37,23.57,26.95,21.71,21.83,23.62,90.37,16.52,99.45,2.56,92.4,15.67,35.74,0.83,0.82,62.28
2015-01-07,DA NANG,16.044,108.199,2.1,22.17,24.55,20.56,20.62,22.2,91.0,15.27,99.81,3.78,59.1,10.49,36.08,0.83,0.81,94.69
2015-01-08,DA NANG,16.044,108.199,1.19,21.33,23.31,19.93,19.53,21.47,89.45,14.24,100.04,5.77,61.5,9.46,35.31,0.83,0.81,84.09
2015-01-09,DA NANG,16.044,108.199,2.38,20.75,22.87,19.6,18.61,21.18,87.71,13.44,99.99,5.26,57.7,12.91,35.31,0.83,0.81,92.15
2015-01-10,DA NANG,16.044,108.199,3.54,20.49,22.65,19.22,18.73,20.94,89.76,13.55,99.95,3.81,36.2,5.53,35.51,0.84,0.81,99.62
