date,location,latitude,longitude,precipitationCorrected,temperature2m,temperature2mMax,temperature2mMin,dewPoint2m,earthSkinTemperature,relativeHumidity2m,specificHumidity2m,surfacePressure,windSpeed10m,windDirection10m,shortwaveDownwardIrradiance,longwaveDownwardIrradiance,surfaceSoilWetness,rootZoneSoilWetness,cloudFraction
2015-01-01,PHU BAI,16.402,107.703,1.02,19.37,21.68,17.93,15.38,19.77,78.28,10.94,100.09,4.6,56.5,10.16,33.26,0.82,0.8,74.93
2015-01-02,PHU BAI,16.402,107.703,5.04,19.91,22.35,18.48,17.23,20.06,84.86,12.31,99.99,4.63,64.6,7.62,33.91,0.83,0.8,96.97
2015-01-03,PHU BAI,16.402,107.703,3.11,19.7,22.46,18.01,17.56,19.85,87.64,12.62,99.74,3.68,76.5,5.66,34.78,0.83,0.8,95.46
2015-01-04,PHU BAI,16.402,107.703,0.01,21.08,24.47,19.04,19.1,21.06,89.08,13.97,99.35,3.24,113.9,15.42,32.98,0.82,0.79,67.06
2015-01-05,PHU BAI,16.402,107.703,0.0,23.11,27.31,20.59,20.67,22.98,87.29,15.44,99.21,2.64,116.5,18.06,33.6,0.81,0.79,64.66
2015-01-06,PHU BAI,16.402,107.703,1.03,23.22,26.77,21.13,21.68,23.3,91.37,16.39,99.33,2.81,91.0,14.52,36.06,0.81,0.79,80.54
2015-01-07,PHU BAI,16.402,107.703,8.88,21.88,24.83,20.06,20.4,21.86,91.37,15.09,99.73,4.38,69.9,6.08,35.75,0.83,0.79,99.07
2015-01-08,PHU BAI,16.402,107.703,5.71,20.81,22.81,19.34,19.04,20.77,89.57,13.82,99.96,6.79,66.5,7.15,35.02,0.83,0.8,88.03
2015-01-09,PHU BAI,16.402,107.703,3.41,20.1,22.18,18.76,18.18,20.33,88.74,13.09,99.91,5.88,66.1,7.69,34.84,0.82,0.79,95.58
2015-01-10,PHU BAI,16.402,107.703,3.67,19.4,21.51,18.14,17.7,19.87,89.92,12.7,99.91,4.99,22.6,3.49,34.83,0.83,0.8,99.39
2015-01-11,PHU BAI,16.402,107.703,1.96,19.05,21.25,17.78,17.47,19.63,90.53,12.53,99.89,5.56,349.6,3.36,34.49,0.82,0.79,99.57
