date,location,latitude,longitude,precipitationCorrected,temperature2m,temperature2mMax,temperature2mMin,dewPoint2m,earthSkinTemperature,relativeHumidity2m,specificHumidity2m,surfacePressure,windSpeed10m,windDirection10m,shortwaveDownwardIrradiance,longwaveDownwardIrradiance,surfaceSoilWetness,rootZoneSoilWetness,cloudFraction
2015-01-01,PLEIKU,14.005,108.017,0.23,18.12,23.73,14.22,11.52,18.29,68.7,9.06,94.66,3.2,48.2,12.83,30.6,0.47,0.58,67.97
2015-01-02,PLEIKU,14.005,108.017,1.87,19.76,25.92,16.45,14.73,20.01,75.8,11.12,94.64,2.93,53.7,9.55,31.55,0.47,0.58,96.32
2015-01-03,PLEIKU,14.005,108.017,1.95,20.36,27.35,16.46,16.13,20.57,79.05,12.16,94.47,2.66,64.4,9.84,32.42,0.48,0.58,82.69
2015-01-04,PLEIKU,14.005,108.017,0.02,22.41,29.55,17.68,16.75,22.68,73.57,12.69,94.29,1.98,89.4,13.39,32.1,0.46,0.58,89.4
2015-01-05,PLEIKU,14.005,108.017,0.0,23.57,30.9,18.61,17.99,23.89,74.58,13.76,94.23,1.64,105.6,16.39,32.26,0.46,0.58,80.01
2015-01-06,PLEIKU,14.005,108.017,0.19,24.22,32.04,19.61,18.09,24.55,72.63,13.87,94.23,2.11,84.1,15.86,33.31,0.45,0.58,64.9
2015-01-07,PLEIKU,14.005,108.017,1.05,22.68,29.91,18.92,17.15,22.94,73.23,13.0,94.43,2.95,68.1,9.79,34.19,0.46,0.58,92.65
2015-01-08,PLEIKU,14.005,108.017,0.89,21.59,27.89,18.0,16.6,21.77,75.2,12.53,94.57,3.57,66.8,6.61,33.86,0.46,0.58,93.99
2015-01-09,PLEIKU,14.005,108.017,1.41,21.16,28.16,17.12,15.99,21.41,75.98,12.06,94.55,2.96,67.3,8.7,33.16,0.46,0.58,89.5
2015-01-10,PLEIKU,14.005,108.017,2.45,20.93,28.37,16.7,16.59,21.2,79.51,12.53,94.53,2.67,66.4,8.57,33.53,0.47,0.58,91.11
2015-01-11,PLEIKU,14.005,108.017,1.07,20.69,27.51,17.02,15.51,20.95,74.45,11.69,94.52,2.52,64.2,8.18,32.55,0.46,0.58,85.83
2015-01-12,PLEIKU,14.005,108.017,0.0,20.54,28.59,14.8,13.63,20.8,66.49,10.38,94.5,2.51,51.9,14.48,31.44,0.46,0.58,62.44
2015-01-13,PLEIKU,14.005,108.017,0.0,19.75,29.18,13.16,11.67,20.14,63.22,9.09,94.56,2.59,54.9,14.69,30.67,0.45,0.58,63.54
2015-01-14,PLEIKU,14.005,108.017,0.0,17.46,26.85,11.32,9.4,17.79,63.69,7.8,94.68,2.77,56.3,13.7,29.4,0.44,0.57,58.66
2015-01-15,PLEIKU,14.005,108.017,0.0,16.88,26.84,9.68,7.98,17.22,62.16,7.13,94.64,2.23,58.4,15.73,29.37,0.44,0.57,58.37
2015-01-16,PLEIKU,14.005,108.017,0.34,17.8,26.25,12.9,10.82,18.11,68.99,8.65,94.62,2.78,54.6,15.09,31.89,0.43,0.57,76.12
2015-01-17,PLEIKU,14.005,108.017,0.46,18.64,25.43,13.94,13.19,18.85,73.13,10.04,94.66,3.21,57.4,8.86,32.03,0.43,0.57,90.68
2015-01-18,PLEIKU,14.005,108.017,0.1,19.54,26.1,15.42,12.94,19.83,69.22,9.96,94.63,2.89,58.1,14.23,32.0,0.43,0.57,85.95
2015-01-19,PLEIKU,14.005,108.017,0.0,16.96,23.05,12.67,11.84,17.15,74.46,9.17,94.69,2.54,61.9,11.14,30.29,0.43,0.57,77.88
2015-01-20,PLEIKU,14.005,108.017,0.0,19.62,29.29,13.1,11.02,20.05,64.07,8.74,94.7,1.52,62.8,18.06,28.73,0.42,0.57,71.67
2015-01-21,PLEIKU,14.005,108.017,0.0,20.75,30.06,14.24,12.23,21.17,64.75,9.5,94.79,2.06,62.8,20.27,28.49,0.42,0.57,28.26
2015-01-22,PLEIKU,14.005,108.017,0.0,20.3,30.28,13.43,11.57,20.74,64.68,9.11,94.69,1.97,74.7,18.37,29.46,0.41,0.57,38.94
2015-01-23,PLEIKU,14.005,108.017,0.0,19.93,29.88,13.21,11.44,20.36,65.31,9.03,94.47,1.73,85.8,20.16,28.8,0.41,0.57,29.89
2015-01-24,PLEIKU,14.005,108.017,0.0,20.91,31.37,13.62,11.66,21.25,63.19,9.18,94.51,1.43,88.7,20.02,28.8,0.4,0.57,18.68
2015-01-25,PLEIKU,14.005,108.017,0.0,21.48,32.72,13.17,10.79,21.83,60.03,8.75,94.55,1.49,79.8,21.63,27.83,0.4,0.57,3.19
2015-01-26,PLEIKU,14.005,108.017,0.0,21.94,32.8,14.02,10.8,22.26,59.22,8.82,94.48,1.81,80.0,22.19,27.34,0.39,0.57,1.98
