date,location,latitude,longitude,precipitationCorrected,temperature2m,temperature2mMax,temperature2mMin,dewPoint2m,earthSkinTemperature,relativeHumidity2m,specificHumidity2m,surfacePressure,windSpeed10m,windDirection10m,shortwaveDownwardIrradiance,longwaveDownwardIrradiance,surfaceSoilWetness,rootZoneSoilWetness,cloudFraction
2015-01-01,VINH,18.737,105.671,0.0,16.61,21.82,13.41,12.52,16.72,78.28,8.98,101.24,3.79,25.5,14.81,28.35,0.65,0.66,29.3
2015-01-02,VINH,18.737,105.671,0.0,16.89,21.86,13.52,14.47,16.8,86.34,10.21,101.12,3.25,31.8,6.93,32.2,0.65,0.66,87.68
2015-01-03,VINH,18.737,105.671,0.0,17.65,22.79,14.18,15.49,17.58,87.93,10.94,100.77,2.5,28.8,10.7,31.39,0.65,0.65,65.04
2015-01-04,VINH,18.737,105.671,0.0,20.72,27.56,16.54,16.84,20.67,80.68,12.02,100.2,2.33,152.0,18.23,30.78,0.64,0.65,42.79
2015-01-05,VINH,18.737,105.671,0.0,22.76,29.97,18.18,17.66,21.9,76.11,12.69,100.05,1.4,222.5,15.59,32.63,0.63,0.65,40.68
2015-01-06,VINH,18.737,105.671,1.8,23.32,29.32,20.34,20.23,23.74,84.72,14.85,100.27,2.35,70.3,10.01,35.87,0.63,0.64,89.67
2015-01-07,VINH,18.737,105.671,10.06,18.51,21.41,15.83,16.62,18.8,89.14,11.78,100.91,5.12,23.0,4.36,34.04,0.69,0.65,96.28
2015-01-08,VINH,18.737,105.671,9.76,16.78,19.08,15.75,15.13,17.01,90.2,10.65,101.18,6.15,23.6,4.75,33.19,0.73,0.67,97.14
2015-01-09,VINH,18.737,105.671,4.64,16.41,19.59,13.63,14.19,16.66,86.92,10.04,101.11,5.79,26.3,3.67,32.71,0.71,0.68,98.07
2015-01-10,VINH,18.737,105.671,5.69,12.81,14.04,11.43,11.21,13.37,90.39,8.26,101.18,5.51,352.5,4.32,31.27,0.71,0.68,99.28
2015-01-11,VINH,18.737,105.671,7.79,12.82,14.03,11.21,11.32,13.42,90.88,8.31,101.19,5.0,346.9,3.46,31.56,0.75,0.69,99.55
2015-01-12,VINH,18.737,105.671,0.15,13.88,18.75,9.93,11.19,14.2,84.52,8.21,101.22,4.21,7.7,9.15,29.3,0.7,0.69,56.81
2015-01-13,VINH,18.737,105.671,0.0,13.99,18.95,9.63,9.62,13.74,76.5,7.4,101.22,3.2,11.7,18.74,25.46,0.69,0.68,12.6
2015-01-14,VINH,18.737,105.671,0.03,14.52,19.09,9.89,11.04,14.33,80.52,8.13,101.25,3.0,25.3,14.18,27.52,0.68,0.67,34.38
2015-01-15,VINH,18.737,105.671,0.01,14.97,20.32,10.4,11.2,14.8,79.37,8.22,101.14,2.36,31.4,16.92,27.4,0.67,0.67,26.65
2015-01-16,VINH,18.737,105.671,0.0,14.61,19.27,9.86,11.95,14.47,84.26,8.64,101.2,3.25,17.2,14.09,29.03,0.67,0.67,50.34
2015-01-17,VINH,18.737,105.671,0.01,16.12,20.49,12.97,13.32,16.46,85.06,9.47,101.18,3.39,14.8,8.6,31.25,0.67,0.67,76.18
2015-01-18,VINH,18.737,105.671,0.04,16.34,20.81,12.8,14.14,16.52,87.41,9.98,101.15,4.0,20.5,7.82,31.96,0.66,0.66,84.28
2015-01-19,VINH,18.737,105.671,0.07,15.8,20.95,10.63,12.81,15.67,83.09,9.17,101.08,3.05,6.2,11.39,30.6,0.66,0.66,57.85
2015-01-20,VINH,18.737,105.671,0.0,17.01,22.96,12.32,12.59,17.02,77.33,9.04,100.99,1.9,8.0,17.37,28.67,0.65,0.66,14.73
2015-01-21,VINH,18.737,105.671,0.0,17.09,22.73,12.9,13.66,17.01,81.78,9.67,101.2,2.67,348.0,9.68,30.88,0.65,0.66,74.15
2015-01-22,VINH,18.737,105.671,0.0,17.85,23.83,13.58,14.39,18.27,82.25,10.18,100.89,2.41,123.3,16.01,29.04,0.64,0.65,13.98
2015-01-23,VINH,18.737,105.671,0.0,18.94,26.27,14.03,15.18,19.28,80.97,10.75,100.46,2.89,140.7,18.11,30.16,0.63,0.65,11.33
2015-01-24,VINH,18.737,105.671,0.0,21.47,28.75,16.39,16.07,21.2,74.06,11.44,100.37,2.02,169.4,16.96,31.38,0.63,0.64,16.42
2015-01-25,VINH,18.737,105.671,0.0,21.56,29.22,16.53,17.02,21.31,78.83,12.11,100.54,1.7,97.3,16.89,32.79,0.62,0.64,49.53
2015-01-26,VINH,18.737,105.671,0.0,20.64,27.46,16.18,17.6,20.95,84.13,12.54,100.52,2.17,100.7,11.7,33.7,0.62,0.64,61.89
2015-01-27,VINH,18.737,105.671,0.0,20.45,27.07,15.71,17.51,20.85,84.22,12.49,100.39,2.63,111.1,11.23,34.12,0.61,0.64,71.53
2015-01-28,VINH,18.737,105.671,0.0,20.84,28.54,15.25,17.05,21.36,81.19,12.15,100.34,2.86,124.9,12.51,34.0,0.61,0.63,62.67
2015-01-29,VINH,18.737,105.671,0.0,21.02,27.66,16.76,17.84,21.46,83.13,12.73,100.61,2.71,111.4,12.52,34.84,0.61,0.63,78.12
2015-01-30,VINH,18.737,105.671,0.18,21.14,26.55,17.8,17.98,21.84,84.1,12.8,100.9,3.89,87.8,14.5,32.59,0.6,0.63,60.4
