STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,station_name,source_year,source_url
48825099999,2015-01-01,20.9666666,105.7666666,7.91,"HA DONG, VM",63.5,8,49.1,8,1023.7,8,22.8,8,5.7,8,3.6,7,3.9,999.9,75.0, ,54.9,*,0.0,G,999.9,0,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-02,20.9666666,105.7666666,7.91,"HA DONG, VM",61.7,8,52.7,8,1022.6,8,21.7,8,5.7,8,3.2,6,3.9,999.9,70.7, ,53.8, ,0.0,G,999.9,0,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-03,20.9666666,105.7666666,7.91,"HA DONG, VM",63.9,8,57.4,8,1018.7,8,17.8,8,5.7,8,4.4,7,5.8,999.9,69.4, ,55.0, ,0.0,G,999.9,0,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-04,20.9666666,105.7666666,7.91,"HA DONG, VM",68.0,8,62.7,8,1012.8,8,11.9,8,5.7,8,5.6,8,9.7,999.9,76.6, ,61.3, ,0.0,G,999.9,0,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-05,20.9666666,105.7666666,7.91,"HA DONG, VM",69.6,8,66.3,8,1011.7,8,10.8,8,4.4,8,1.7,7,5.8,999.9,73.6, ,65.3, ,0.0,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-06,20.9666666,105.7666666,7.91,"HA DONG, VM",71.2,8,67.9,8,1013.9,8,13.0,8,4.2,8,2.2,7,3.9,999.9,75.2, ,68.2, ,0.01,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-07,20.9666666,105.7666666,7.91,"HA DONG, VM",63.9,8,55.3,8,1020.8,8,19.9,8,6.2,8,7.0,8,11.7,999.9,65.8,*,62.1,*,0.04,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-08,20.9666666,105.7666666,7.91,"HA DONG, VM",60.3,8,52.0,8,1024.8,8,23.9,8,6.2,8,5.3,8,7.8,999.9,61.9, ,59.4,*,0.0,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-09,20.9666666,105.7666666,7.91,"HA DONG, VM",56.7,8,50.9,8,1025.1,8,24.2,8,5.7,8,5.6,8,7.8,999.9,60.8, ,53.4,*,0.06,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-10,20.9666666,105.7666666,7.91,"HA DONG, VM",53.4,8,51.9,8,1024.8,8,23.8,8,5.3,8,4.9,8,7.8,999.9,54.5, ,52.7, ,0.31,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
48825099999,2015-01-11,20.9666666,105.7666666,7.91,"HA DONG, VM",55.7,8,52.7,8,1024.0,8,23.1,8,6.2,8,2.5,7,3.9,999.9,57.9,*,53.1, ,0.63,G,999.9,10000,HA DONG (Đại diện Bắc Bộ),2015,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2015/48825099999.csv
